drug_a_name,drug_b_name,cell,synergy
3385,45480520,A2058,7.693530166
3385,45480520,A2780,7.77805306
3385,45480520,A375,-1.198505438
3385,45480520,CAOV3,-5.139971221
3385,45480520,DLD1,1.935127119
3385,45480520,ES2,1.498650452
3385,45480520,HCT116,9.463280869
3385,45480520,HT144,-3.701354746
3385,45480520,HT29,10.17343391
3385,45480520,KPL1,2.157004428
3385,45480520,LOVO,-8.979213946
3385,45480520,MDAMB436,6.899259995
3385,45480520,NCIH1650,-5.996370296
3385,45480520,NCIH2122,7.890256814
3385,45480520,NCIH23,-5.042652306
3385,45480520,NCIH460,-6.611947917
3385,45480520,NCIH520,3.698834848
3385,45480520,OV90,-10.06884761
3385,45480520,RKO,-2.677587786
3385,45480520,RPMI7951,-2.17322193
3385,45480520,SKMEL30,-36.45922958
3385,45480520,SKMES1,-0.086424579
3385,45480520,SKOV3,5.077177384
3385,45480520,SW620,0.108107719
3385,45480520,SW837,-14.52310863
3385,45480520,T47D,17.48579545
3385,45480520,UACC62,-1.583963783
3385,45480520,VCAP,1.096102762
3385,45480520,ZR751,-8.675317044
3385,387447,A2058,-5.239878448
3385,387447,A2780,-18.59912622
3385,387447,A375,-2.405334783
3385,387447,CAOV3,-35.27304184
3385,387447,DLD1,5.228476756
3385,387447,ES2,-16.13012533
3385,387447,HCT116,-4.51926945
3385,387447,HT144,-14.56978258
3385,387447,HT29,-15.95161347
3385,387447,KPL1,-2.997532726
3385,387447,LOVO,-6.175982009
3385,387447,MDAMB436,-2.025565761
3385,387447,NCIH1650,-15.77870569
3385,387447,NCIH2122,-16.69626568
3385,387447,NCIH23,-9.190964586
3385,387447,NCIH460,-18.99813026
3385,387447,NCIH520,-24.06755091
3385,387447,OV90,-9.586166869
3385,387447,RKO,2.907200668
3385,387447,RPMI7951,-10.47941439
3385,387447,SKMEL30,-172.8887021
3385,387447,SKMES1,-11.64272985
3385,387447,SKOV3,-4.604893623
3385,387447,SW620,-1.907966818
3385,387447,SW837,-1.3618595
3385,387447,T47D,2.748791181
3385,387447,UACC62,-17.84185108
3385,387447,VCAP,-7.053510631
3385,387447,ZR751,-17.45137527
3385,3062316,A2058,31.12564418
3385,3062316,A2780,50.60366026
3385,3062316,A375,2.683689159
3385,3062316,CAOV3,17.87983173
3385,3062316,DLD1,21.43309088
3385,3062316,ES2,17.69019535
3385,3062316,HCT116,-7.819271786
3385,3062316,HT144,-22.97327812
3385,3062316,HT29,17.06698076
3385,3062316,KPL1,3.446811911
3385,3062316,LOVO,21.38558819
3385,3062316,MDAMB436,18.71869688
3385,3062316,NCIH1650,23.23497071
3385,3062316,NCIH2122,-31.1947196
3385,3062316,NCIH23,11.55914675
3385,3062316,NCIH460,21.6687261
3385,3062316,NCIH520,42.73505144
3385,3062316,OV90,0.433034774
3385,3062316,RKO,17.31163283
3385,3062316,RPMI7951,19.06355103
3385,3062316,SKMEL30,-4.618694814
3385,3062316,SKMES1,2.981820492
3385,3062316,SKOV3,1.304656068
3385,3062316,SW620,30.44463084
3385,3062316,SW837,15.87733689
3385,3062316,T47D,18.86560141
3385,3062316,UACC62,12.12396034
3385,3062316,VCAP,21.45572644
3385,3062316,ZR751,5.114279433
3385,176870,A2058,9.694285755
3385,176870,A2780,16.5693311
