name,DrugBank Accession Number,isosmiles,
Miconazole,DB01110,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,
Dexamethasone,DB01234,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,
Triflusal,DB08814,CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O,
Verapamil,DB00661,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,
Zonisamide,DB00909,NS(=O)(=O)CC1=NOC2=CC=CC=C12,
Flunarizine,DB04841,FC1=CC=C(C=C1)C(N1CCN(C\C=C\C2=CC=CC=C2)CC1)C1=CC=C(F)C=C1,
Caffeine,DB00201,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,
Theophylline,DB00277,CN1C2=C(NC=N2)C(=O)N(C)C1=O,
Adenosine,DB00640,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,
Dyphylline,DB00651,CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O,
Gabapentin,DB00996,NCC1(CC(O)=O)CCCCC1,
Aminophylline,DB01223,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,
Theobromine,DB01412,CN1C=NC2=C1C(=O)NC(=O)N2C,
Imatinib,DB00619,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,
Dasatinib,DB01254,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,
Tasigna,DB04868,CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)=CC(=C1)C(F)(F)F,
Mesalazine,DB00244,NC1=CC(C(O)=O)=C(O)C=C1,
Acetaminophen,DB00316,CC(=O)NC1=CC=C(O)C=C1,
Indomethacin,DB00328,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,
Minoxidil,DB00350,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,
Nabumetone,DB00461,COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2,
Ketorolac,DB00465,OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1,
Tenoxicam,DB00469,CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=CS2)S1(=O)=O,
Tolmetin,DB00500,CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1,
Piroxicam,DB00554,CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O,
Diclofenac,DB00586,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,
Sulindac,DB00605,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O,
Flurbiprofen,DB00712,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,
Etodolac,DB00749,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1,
Mefenamic acid,DB00784,CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1,
Naproxen,DB00788,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,
Sulfasalazine,DB00795,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,
Phenylbutazone,DB00812,CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,
Meloxicam,DB00814,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,
Carprofen,DB00821,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1,
Suprofen,DB00870,CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,
Aspirin,DB00945,CC(=O)OC1=CC=CC=C1C(O)=O,
Bromfenac,DB00963,NC1=C(CC(O)=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1,
Oxaprozin,DB00991,OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1,
Ketoprofen,DB01009,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,
Balsalazide,DB01014,OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O,
Ibuprofen,DB01050,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,
Lumiracoxib,DB01283,CC1=CC=C(NC2=C(Cl)C=CC=C2F)C(CC(O)=O)=C1,
Salsalate,DB01399,OC(=O)C1=CC=CC=C1OC(=O)C1=CC=CC=C1O,
Antipyrine,DB01435,CN1N(C(=O)C=C1C)C1=CC=CC=C1,
Flufenamic acid,DB02266,OC(=O)C1=CC=CC=C1NC1=CC(=CC=C1)C(F)(F)F,
Resveratrol,DB02709,OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,
Niflumic acid,DB04552,OC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)N=CC=C1,
Lornoxicam,DB06725,CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=C(Cl)S2)S1(=O)=O,
Nepafenac,DB06802,NC(=O)CC1=CC=CC(C(=O)C2=CC=CC=C2)=C1N,
Ziprasidone,DB00246,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,
