drug_a_name,drug_b_name,cell,synergy
DB00544,DB00188,A2058,-2.395
DB00544,DB01254,A2058,1.5075
DB00544,DB00530,A2058,8.2525
DB00544,DB02424,A2058,6.0575
DB00544,DB01259,A2058,4.92
DB00544,DB00398,A2058,11.155
DB00544,DB01268,A2058,13.5325
DB00188,DB01254,A2058,1.05
DB00188,DB02424,A2058,3.5625
DB00188,DB00398,A2058,12.895
DB00188,DB01030,A2058,2.6475
DB01254,DB02424,A2058,-1.815
DB01254,DB00398,A2058,13.4575
DB01254,DB01030,A2058,2.4525
DB01234,DB00188,A2058,5.385
DB01234,DB01254,A2058,2.6975
DB01234,DB00530,A2058,-0.9
DB01234,DB02424,A2058,11.3325
DB01234,DB01259,A2058,4.18
DB01234,DB00398,A2058,17.79
DB01234,DB01268,A2058,16.935
DB00997,DB00188,A2058,-0.0825
DB00997,DB01254,A2058,1.65
DB00997,DB00530,A2058,0.31
DB00997,DB02424,A2058,0.9525
DB00997,DB01259,A2058,3.115
DB00997,DB00398,A2058,-0.9275
DB00997,DB01268,A2058,-1.125
DB00530,DB00188,A2058,-1.195
DB00530,DB01254,A2058,5.085
DB00530,DB02424,A2058,6.1575
DB00530,DB00398,A2058,8.445
DB00530,DB01030,A2058,13.74
DB00773,DB00188,A2058,3.95
DB00773,DB01254,A2058,-0.1675
DB00773,DB00530,A2058,2.54
DB00773,DB02424,A2058,9.53
DB00773,DB01259,A2058,3.5975
DB00773,DB00398,A2058,3.7175
DB00773,DB01268,A2058,3.4675
DB02424,DB00398,A2058,16.7075
DB02424,DB01030,A2058,7.5
DB00441,DB00188,A2058,10.09
DB00441,DB01254,A2058,2.7175
DB00441,DB00530,A2058,8.84
DB00441,DB02424,A2058,9.8775
DB00441,DB01259,A2058,5.9925
DB00441,DB00398,A2058,3.0975
DB00441,DB01268,A2058,8.2875
DB01259,DB00188,A2058,1.7725
DB01259,DB01254,A2058,7.1
DB01259,DB00530,A2058,5.1075
DB01259,DB02424,A2058,9.875
DB01259,DB00398,A2058,20.58
DB01259,DB01030,A2058,10.4225
DB00331,DB00188,A2058,2.6525
DB00331,DB01254,A2058,-0.5275
DB00331,DB00530,A2058,-0.415
DB00331,DB02424,A2058,10.9925
DB00331,DB01259,A2058,4.47
DB00331,DB00398,A2058,17.3525
DB00331,DB01268,A2058,13.2575
DB00563,DB00188,A2058,-2.4275
DB00563,DB01254,A2058,5.06
DB00563,DB00530,A2058,3.2875
DB00563,DB02424,A2058,-6.2425
DB00563,DB01259,A2058,0.105
DB00563,DB00398,A2058,1.55
DB00563,DB01268,A2058,-2.5225
DB01229,DB00188,A2058,2.1075
DB01229,DB01254,A2058,0.645
DB01229,DB00530,A2058,-2.2525
DB01229,DB02424,A2058,3.855
DB01229,DB01259,A2058,0.375
DB01229,DB00398,A2058,3.4675
DB01229,DB01268,A2058,5.6075
